input,openai,bert,gemini,timestamp
Coronavirus disease (COVID-19) is an...,"Yes, this text is most likely written by AI. (AI Probability: 99.91%)...","No, this text is most...",Unlikely. The text appears to...,2024-10-10 06:02:16
“The Greek Atomists reduced everything...,"Yes, this text is most likely written by AI. (AI Probability: 92.41%)...",Error communicating with Hugging Face...,Unlikely. The text is well-written...,2024-10-10 06:59:36
“The Greek Atomists reduced everything...,"Yes, this text is most likely written by AI. (AI Probability: 92.41%)...",Error communicating with Hugging Face...,Unlikely. The text displays a...,2024-10-10 07:04:19
“The Greek Atomists reduced everything...,"Yes, this text is most likely written by AI. (AI Probability: 92.41%)...",Error communicating with Hugging Face...,Unlikely. The text is written...,2024-10-10 07:04:26
“The Greek Atomists reduced everything...,"Yes, this text is most likely written by AI. (AI Probability: 92.41%)...","No, this text is most...",Unlikely. The text exhibits sophisticated...,2024-10-10 07:04:30
“The Greek Atomists reduced everything...,"Yes, this text is most likely written by AI. (AI Probability: 92.41%)...","No, this text is most...",Unlikely. The text is a...,2024-10-10 07:06:18
“The Greek Atomists reduced everything...,"Yes, this text is most likely written by AI. (AI Probability: 90.46%)...","No, this text is most...","Unlikely. The text is well-written,...",2024-10-10 07:06:57
“The Greek Atomists reduced everything...,"Yes, this text is most likely written by AI. (AI Probability: 92.41%)...","No, this text is most...",Unlikely. The text demonstrates a...,2024-10-10 07:13:44
An octopus is a sea...,"No, this text is most likely written by a Human. (AI Probability: 18.24%)...","No, this text is most...",**Unlikely** The text reads like...,2024-10-10 09:33:18
“The Greek Atomists reduced everything...,"Yes, this text is most likely written by AI. (AI Probability: 92.41%)...","No, this text is most...",Unlikely. The text exhibits a...,2024-10-10 09:52:17
